delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,actual_delivery_hours,expected_delivery_hours,delivery_delay_hours
34,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,no,delivered,5,243.66,8.0,16.0,-8.0
35,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,yes,delayed,2,595.53,5.0,3.0,2.0
36,delhivery,documents,bike,same day,east,clear,37.6,22.81,no,delivered,4,356.43,3.0,8.0,-5.0
37,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,yes,delayed,2,298.16,5.0,2.0,3.0
38,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,no,delivered,5,1321.0,5.0,8.0,-3.0
39,ekart,documents,bike,standard,east,rainy,62.2,48.58,no,delivered,3,456.74,7.0,24.0,-17.0
40,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,no,delivered,4,701.55,6.0,24.0,-18.0
41,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,no,delivered,5,834.87,6.0,8.0,-2.0
42,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,yes,delayed,3,206.74,3.0,2.0,1.0
43,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,no,delivered,5,1317.61,7.0,24.0,-17.0
44,dhl,furniture,van,two day,east,rainy,253.9,7.07,no,delivered,3,1290.71,9.0,16.0,-7.0
45,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,no,delivered,4,157.38,6.0,8.0,-2.0
46,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,no,delivered,4,970.6,5.0,24.0,-19.0
47,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,no,delivered,3,1005.12,4.0,24.0,-20.0
48,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,no,delivered,4,984.38,11.0,16.0,-5.0
49,xpressbees,documents,ev van,express,west,hot,78.3,49.22,yes,failed,1,589.16,4.0,3.0,1.0
50,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,no,delivered,4,378.35,2.0,3.0,-1.0
51,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,no,delivered,5,324.08,5.0,8.0,-3.0
52,blue dart,clothing,truck,express,north,hot,216.7,26.89,yes,delayed,2,1214.17,7.0,6.0,1.0
53,dhl,electronics,van,standard,south,foggy,148.2,38.6,no,delivered,4,856.8,5.0,24.0,-19.0
54,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,no,delivered,4,1161.37,5.0,8.0,-3.0
55,fedex,groceries,truck,same day,east,stormy,167.7,42.4,no,delivered,5,1065.7,7.0,8.0,-1.0
56,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,no,delivered,5,1066.02,9.0,24.0,-15.0
57,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,no,delivered,5,1200.32,7.0,24.0,-17.0
58,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,no,delivered,5,484.65,6.0,8.0,-2.0
59,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,no,delivered,4,1045.11,3.0,16.0,-13.0
60,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,no,delivered,5,437.93,3.0,16.0,-13.0
61,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,no,delivered,5,289.36,3.0,8.0,-5.0
62,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,no,delivered,3,1370.53,12.0,24.0,-12.0
63,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,yes,delayed,2,1315.6,8.0,6.0,2.0
64,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,yes,delayed,2,1292.86,7.0,6.0,1.0
65,dhl,clothing,bike,two day,west,hot,113.3,34.03,no,delivered,5,668.59,4.0,16.0,-12.0
66,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,no,delivered,4,1287.23,12.0,24.0,-12.0
67,ecom express,electronics,scooter,express,east,cold,87.7,22.38,yes,failed,2,555.64,4.0,3.0,1.0
68,dhl,furniture,van,same day,east,rainy,90.1,27.46,no,delivered,4,632.88,6.0,8.0,-2.0
69,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,yes,delayed,2,736.82,6.0,4.0,2.0
70,fedex,documents,bike,same day,central,cold,217.3,3.03,no,delivered,5,1195.59,6.0,8.0,-2.0
71,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,no,delivered,3,460.75,6.0,24.0,-18.0
72,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,no,delivered,5,173.54,2.0,16.0,-14.0
73,fedex,documents,ev van,express,north,rainy,78.5,27.87,yes,delayed,3,526.11,8.0,3.0,5.0
74,blue dart,documents,van,express,north,hot,138.3,47.87,yes,delayed,3,885.11,8.0,4.0,4.0
75,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,no,delivered,4,599.99,3.0,16.0,-13.0
76,fedex,furniture,ev van,standard,west,cold,216.2,23.93,no,delivered,4,1152.79,11.0,24.0,-13.0
77,ekart,clothing,van,express,south,stormy,24.1,34.1,yes,delayed,3,272.8,7.0,2.0,5.0
78,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,no,delivered,4,1070.19,13.0,24.0,-11.0
79,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,no,delivered,4,604.06,2.0,8.0,-6.0
80,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,yes,delayed,2,398.73,3.0,3.0,0.0
81,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,yes,delayed,3,470.66,8.0,8.0,0.0
82,dhl,documents,bike,same day,east,rainy,60.4,22.93,no,delivered,5,470.79,6.0,8.0,-2.0
83,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,yes,failed,2,1458.24,9.0,8.0,1.0
84,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,no,delivered,4,551.44,4.0,16.0,-12.0
85,shadowfax,electronics,van,two day,south,clear,244.0,13.62,no,delivered,4,1260.86,7.0,16.0,-9.0
86,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,no,delivered,4,498.31,8.0,24.0,-16.0
87,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,no,delivered,4,172.6,3.0,8.0,-5.0
88,ekart,furniture,van,two day,south,cold,3.6,8.75,no,delivered,3,95.6674,0.0,16.0,-16.0
89,xpressbees,documents,van,standard,east,rainy,111.0,36.68,no,delivered,4,665.04,9.0,24.0,-15.0
90,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,yes,delayed,3,1432.59,11.0,7.0,4.0
91,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,no,delivered,5,1049.98,7.0,8.0,-1.0
92,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,no,delivered,4,1045.27,9.0,16.0,-7.0
93,amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,no,delivered,5,743.23,4.0,24.0,-20.0
94,dhl,fragile items,bike,two day,north,hot,83.3,34.71,no,delivered,4,520.63,4.0,16.0,-12.0
95,ecom express,clothing,van,standard,west,foggy,193.2,33.28,no,delivered,4,1065.84,7.0,24.0,-17.0
96,ekart,clothing,van,two day,east,foggy,174.3,47.29,no,delivered,5,1013.37,10.0,16.0,-6.0
97,ekart,groceries,bike,same day,west,clear,11.4,40.22,no,delivered,5,277.66,1.0,8.0,-7.0
98,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,yes,delayed,2,1016.88,6.0,5.0,1.0
99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,no,delivered,5,1062.21,11.0,24.0,-13.0
100,blue dart,groceries,truck,express,west,stormy,111.2,37.33,yes,delayed,2,717.99,6.0,4.0,2.0
101,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,no,delivered,5,729.91,4.0,8.0,-4.0
102,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,no,delivered,4,1323.84,9.0,24.0,-15.0
103,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,no,delivered,5,738.52,5.0,8.0,-3.0
104,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,no,delivered,5,494.92,8.0,24.0,-16.0
105,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,no,delivered,5,1322.21,5.0,24.0,-19.0
106,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,no,delivered,4,1632.7206,6.0,8.0,-2.0
107,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,no,delivered,5,412.45,5.0,16.0,-11.0
108,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,no,delivered,5,657.46,6.0,16.0,-10.0
109,fedex,furniture,scooter,same day,north,hot,3.6,31.41,no,delivered,4,203.23,2.0,8.0,-6.0
110,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,yes,failed,2,898.65,9.0,8.0,1.0
111,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,no,delivered,4,560.07,3.0,8.0,-5.0
112,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,yes,failed,2,1305.19,9.0,6.0,3.0
113,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,no,delivered,4,1376.46,9.0,24.0,-15.0
114,fedex,electronics,scooter,standard,west,clear,35.7,10.8,no,delivered,3,210.9,3.0,24.0,-21.0
115,fedex,documents,van,express,central,stormy,259.3,27.01,yes,failed,1,1427.53,8.0,7.0,1.0
116,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,no,delivered,5,561.77,4.0,8.0,-4.0
117,delhivery,cosmetics,van,express,south,clear,93.1,20.89,no,delivered,3,578.17,2.0,3.0,-1.0
118,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,no,delivered,5,1425.33,9.0,24.0,-15.0
119,ekart,furniture,truck,two day,west,clear,110.2,23.24,no,delivered,4,620.72,4.0,16.0,-12.0
120,blue dart,documents,bike,standard,west,clear,6.0,0.88,no,delivered,4,95.6674,1.0,24.0,-23.0
121,dhl,furniture,truck,two day,east,foggy,16.5,21.49,no,delivered,4,146.97,2.0,16.0,-14.0
122,xpressbees,documents,ev van,standard,north,cold,102.0,18.67,no,delivered,4,566.01,4.0,24.0,-20.0
123,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,yes,delayed,3,1424.88,13.0,7.0,6.0
124,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,no,delivered,5,183.79,2.0,16.0,-14.0
125,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,no,delivered,3,320.87,2.0,16.0,-14.0
126,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,no,delivered,4,1588.78,6.0,7.0,-1.0
127,delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,no,delivered,4,740.6,8.0,24.0,-16.0
128,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,no,delivered,4,1434.54,9.0,16.0,-7.0
129,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,no,delivered,5,618.71,8.0,16.0,-8.0
130,shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,no,delivered,3,873.47,2.0,5.0,-3.0
131,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,no,delivered,4,1463.55,9.0,24.0,-15.0
132,fedex,clothing,truck,same day,north,cold,287.0,8.21,yes,failed,1,1559.63,10.0,8.0,2.0
133,delhivery,electronics,van,two day,north,foggy,50.5,31.28,no,delivered,4,346.34,2.0,16.0,-14.0
134,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,no,delivered,4,1039.0,7.0,16.0,-9.0
135,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,no,delivered,3,799.09,2.0,8.0,-6.0
136,ekart,groceries,scooter,two day,east,cold,45.8,27.22,no,delivered,5,310.66,1.0,16.0,-15.0
137,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,no,delivered,5,245.29,0.0,8.0,-8.0
138,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,no,delivered,4,909.11,6.0,24.0,-18.0
139,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,no,delivered,4,367.67,5.0,8.0,-3.0
140,dhl,furniture,scooter,standard,north,clear,281.6,19.81,no,delivered,3,1467.43,8.0,24.0,-16.0
141,ecom express,electronics,van,same day,east,stormy,75.7,41.47,yes,delayed,2,602.91,8.0,8.0,0.0
142,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,no,delivered,4,705.04,3.0,24.0,-21.0
143,ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,no,delivered,5,1193.0,10.0,24.0,-14.0
144,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,yes,delayed,2,845.38,8.0,5.0,3.0
145,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,no,delivered,3,734.85,4.0,8.0,-4.0
146,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,no,delivered,5,1038.84,7.0,24.0,-17.0
147,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,no,delivered,3,422.39,5.0,16.0,-11.0
148,ekart,documents,truck,same day,south,foggy,147.7,46.57,no,delivered,4,978.21,6.0,8.0,-2.0
149,amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,no,delivered,4,1591.97,6.0,16.0,-10.0
150,delhivery,pharmacy,van,express,north,cold,235.6,42.35,yes,delayed,3,1355.05,7.0,6.0,1.0
151,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,no,delivered,4,634.78,4.0,8.0,-4.0
152,ekart,groceries,truck,two day,central,cold,273.9,42.56,no,delivered,3,1497.18,6.0,16.0,-10.0
153,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,no,delivered,4,1401.08,4.0,24.0,-20.0
154,ekart,groceries,van,two day,east,clear,82.2,18.81,no,delivered,3,467.43,2.0,16.0,-14.0
155,dhl,clothing,truck,same day,south,cold,280.3,15.29,no,delivered,4,1547.37,7.0,8.0,-1.0
156,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,yes,delayed,2,938.86,8.0,8.0,0.0
157,blue dart,groceries,van,same day,west,clear,279.9,21.63,yes,failed,2,1564.39,12.0,8.0,4.0
158,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,yes,delayed,2,1056.6,11.0,8.0,3.0
159,fedex,electronics,van,two day,central,cold,29.9,47.31,no,delivered,3,291.43,2.0,16.0,-14.0
160,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,no,delivered,4,346.65,1.0,24.0,-23.0
161,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,no,delivered,4,819.43,10.0,24.0,-14.0
162,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,no,delivered,4,174.48,4.0,24.0,-20.0
163,dhl,documents,ev bike,two day,east,hot,230.8,30.01,no,delivered,4,1244.03,6.0,16.0,-10.0
164,dhl,clothing,bike,express,west,clear,93.0,9.37,no,delivered,4,543.11,2.0,3.0,-1.0
165,dhl,electronics,van,two day,west,clear,10.4,4.59,no,delivered,4,95.6674,1.0,16.0,-15.0
166,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,no,delivered,4,981.76,4.0,16.0,-12.0
167,ekart,documents,scooter,express,west,rainy,182.1,2.26,yes,delayed,2,967.28,11.0,5.0,6.0
168,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,no,delivered,4,316.67,3.0,24.0,-21.0
169,dhl,groceries,bike,two day,north,cold,55.2,6.78,no,delivered,3,296.34,1.0,16.0,-15.0
170,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,yes,failed,1,1299.58,12.0,6.0,6.0
171,delhivery,electronics,truck,express,west,hot,46.2,14.83,no,delivered,5,325.49,2.0,2.0,0.0
172,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,no,delivered,5,163.39,1.0,16.0,-15.0
173,xpressbees,groceries,scooter,express,north,hot,297.1,22.0,no,delivered,5,1615.5,5.0,8.0,-3.0
174,xpressbees,electronics,bike,express,central,hot,87.8,7.72,no,delivered,5,512.16,3.0,3.0,0.0
175,xpressbees,groceries,truck,express,central,hot,267.4,11.53,yes,delayed,2,1421.59,9.0,7.0,2.0
176,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,no,delivered,4,656.52,10.0,16.0,-6.0
177,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,no,delivered,4,1519.4,6.0,7.0,-1.0
178,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,no,delivered,4,767.02,4.0,16.0,-12.0
179,ecom express,fragile items,van,same day,south,foggy,225.0,7.32,yes,delayed,3,1246.96,11.0,8.0,3.0
180,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,no,delivered,5,1521.58,14.0,24.0,-10.0
181,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,no,delivered,4,550.21,7.0,24.0,-17.0
182,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,no,delivered,3,240.22,0.0,8.0,-8.0
183,fedex,automobile parts,van,standard,west,hot,135.1,37.59,no,delivered,5,788.27,4.0,24.0,-20.0
184,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,no,delivered,4,1159.92,9.0,24.0,-15.0
185,fedex,documents,truck,express,north,rainy,169.6,41.44,yes,delayed,3,1022.32,9.0,5.0,4.0
186,fedex,fragile items,van,express,central,foggy,250.7,29.97,yes,failed,2,1393.41,10.0,7.0,3.0
187,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,no,delivered,4,404.76,7.0,16.0,-9.0
188,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,no,delivered,3,230.07,7.0,16.0,-9.0
189,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,no,delivered,4,434.23,2.0,16.0,-14.0
190,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,no,delivered,3,349.97,5.0,24.0,-19.0
191,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,no,delivered,5,624.11,2.0,16.0,-14.0
192,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,no,delivered,4,619.11,5.0,16.0,-11.0
193,shadowfax,fragile items,ev bike,same day,north,foggy,71.0,32.56,no,delivered,3,552.68,5.0,8.0,-3.0
194,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,no,delivered,4,314.08,3.0,16.0,-13.0
195,ecom express,fragile items,scooter,two day,north,cold,157.0,43.03,no,delivered,4,914.09,3.0,16.0,-13.0
196,delhivery,groceries,van,same day,east,cold,213.7,49.52,no,delivered,5,1317.81,5.0,8.0,-3.0
197,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,yes,delayed,2,1451.52,8.0,7.0,1.0
198,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,yes,delayed,2,539.56,7.0,3.0,4.0
199,dhl,fragile items,truck,express,central,foggy,198.5,20.1,no,delivered,5,1102.8,4.0,5.0,-1.0
200,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,yes,failed,2,948.68,6.0,5.0,1.0
201,dhl,documents,truck,same day,north,clear,265.3,31.8,no,delivered,5,1521.9,5.0,8.0,-3.0
202,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,yes,delayed,2,1162.49,9.0,6.0,3.0
203,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,yes,failed,1,468.0,3.0,3.0,0.0
204,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,no,delivered,3,538.48,4.0,24.0,-20.0
205,fedex,clothing,bike,same day,east,stormy,187.7,6.69,yes,delayed,3,1058.57,13.0,8.0,5.0
206,ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,no,delivered,5,1196.49,9.0,24.0,-15.0
207,xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,yes,delayed,2,174.12,5.0,2.0,3.0
208,ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,no,delivered,4,1060.03,6.0,24.0,-18.0
209,ekart,electronics,van,express,central,foggy,52.0,43.18,yes,delayed,3,439.54,6.0,3.0,3.0
210,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,yes,delayed,2,1608.49,8.0,8.0,0.0
211,ekart,automobile parts,van,same day,north,cold,289.2,16.14,yes,failed,1,1594.42,9.0,8.0,1.0
212,xpressbees,cosmetics,ev bike,standard,east,cold,257.9,45.92,no,delivered,3,1427.26,5.0,24.0,-19.0
213,amazon logistics,pharmacy,van,same day,east,hot,258.3,42.79,yes,delayed,2,1519.87,12.0,8.0,4.0
214,fedex,pharmacy,ev van,express,central,rainy,288.4,44.12,yes,delayed,2,1624.36,9.0,7.0,2.0
215,xpressbees,groceries,van,express,east,hot,86.5,37.04,no,delivered,4,593.62,3.0,3.0,0.0
216,ekart,automobile parts,ev van,same day,south,stormy,157.3,4.51,yes,delayed,2,900.03,9.0,8.0,1.0
217,delhivery,clothing,ev van,standard,central,rainy,41.0,29.25,no,delivered,5,292.75,6.0,24.0,-18.0
218,delhivery,documents,van,standard,central,foggy,137.4,27.87,no,delivered,3,770.61,7.0,24.0,-17.0
219,fedex,clothing,ev bike,standard,north,clear,32.3,46.58,no,delivered,4,301.24,1.0,24.0,-23.0
220,ecom express,fragile items,van,express,central,clear,207.8,40.12,yes,delayed,2,1209.36,6.0,6.0,0.0
221,blue dart,furniture,ev van,standard,south,foggy,23.6,12.4,no,delivered,4,155.2,3.0,24.0,-21.0
222,fedex,cosmetics,ev bike,standard,south,clear,258.0,37.92,no,delivered,4,1403.76,8.0,24.0,-16.0
223,xpressbees,automobile parts,van,same day,north,cold,255.6,18.93,no,delivered,5,1434.79,7.0,8.0,-1.0
224,blue dart,clothing,scooter,standard,north,cold,289.7,19.13,no,delivered,5,1505.89,5.0,24.0,-19.0
225,xpressbees,automobile parts,ev van,express,north,rainy,9.1,45.65,yes,delayed,3,232.45,5.0,2.0,3.0
226,ekart,clothing,truck,standard,west,foggy,245.8,4.19,no,delivered,5,1241.57,5.0,24.0,-19.0
227,amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,no,delivered,3,469.01,3.0,16.0,-13.0
228,shadowfax,cosmetics,ev bike,standard,central,rainy,59.6,20.84,no,delivered,4,360.52,7.0,24.0,-17.0
229,fedex,fragile items,bike,express,east,hot,225.4,22.3,no,delivered,5,1243.9,5.0,6.0,-1.0
230,blue dart,clothing,scooter,express,south,clear,36.9,45.45,yes,delayed,3,370.85,2.0,2.0,0.0
231,fedex,automobile parts,ev van,same day,central,stormy,262.9,31.73,yes,delayed,2,1509.69,16.0,8.0,8.0
232,amazon logistics,fragile items,scooter,standard,central,clear,262.7,28.7,no,delivered,5,1399.6,5.0,24.0,-19.0
233,delhivery,electronics,ev van,two day,east,hot,167.2,35.91,no,delivered,3,943.73,7.0,16.0,-9.0
234,xpressbees,pharmacy,van,express,south,hot,127.4,3.49,no,delivered,3,697.47,3.0,4.0,-1.0
235,fedex,fragile items,ev van,standard,central,foggy,267.0,26.49,no,delivered,3,1414.47,11.0,24.0,-13.0
236,xpressbees,furniture,truck,same day,south,cold,214.0,34.34,no,delivered,4,1273.02,7.0,8.0,-1.0
237,shadowfax,groceries,bike,same day,east,stormy,10.6,42.68,no,delivered,5,281.04,5.0,8.0,-3.0
238,dhl,documents,scooter,same day,central,rainy,124.2,1.02,no,delivered,5,724.06,7.0,8.0,-1.0
239,ekart,furniture,ev van,two day,north,stormy,129.5,13.38,no,delivered,4,687.64,7.0,16.0,-9.0
240,shadowfax,automobile parts,scooter,express,south,foggy,257.0,10.83,yes,delayed,2,1367.49,7.0,7.0,0.0
241,blue dart,pharmacy,scooter,two day,south,hot,264.9,43.16,no,delivered,5,1453.98,9.0,16.0,-7.0
242,shadowfax,cosmetics,bike,two day,west,stormy,163.5,19.83,no,delivered,5,876.99,8.0,16.0,-8.0
